pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,boat,home.dest,body_found,embarked_C,embarked_Q,embarked_S
3,0,"Asplund, Master. Filip Oscar",0,13.0,4,2,347077,31.3875,,,"Sweden Worcester, MA",False,0,0,1
3,0,"Dennis, Mr. William",0,36.0,0,0,A/5 21175,7.25,,,,False,0,0,1
2,1,"Caldwell, Master. Alden Gates",0,0.8333,0,2,248738,29.0,,13,"Bangkok, Thailand / Roseville, IL",False,0,0,1
3,1,"Hirvonen, Miss. Hildur E",1,2.0,0,1,3101298,12.2875,,15,,False,0,0,1
3,1,"Olsson, Mr. Oscar Wilhelm",0,32.0,0,0,347079,7.775,,A,,False,0,0,1
3,0,"Hendekovic, Mr. Ignjac",0,28.0,0,0,349243,7.8958,,,,True,0,0,1
1,0,"McCaffry, Mr. Thomas Francis",0,46.0,0,0,13050,75.2417,C6,,"Vancouver, BC",True,1,0,0
3,0,"Maenpaa, Mr. Matti Alexanteri",0,22.0,0,0,STON/O 2. 3101275,7.125,,,,False,0,0,1
3,1,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",1,22.0,1,0,347072,13.9,,16,"West Haven, CT",False,0,0,1
1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",1,52.0,1,0,36947,78.2667,D20,4,"Haverford, PA",False,1,0,0
3,0,"McNamee, Mrs. Neal (Eileen O'Leary)",1,19.0,1,0,376566,16.1,,,,True,0,0,1
2,1,"Richards, Master. George Sibley",0,0.8333,1,1,29106,18.75,,4,"Cornwall / Akron, OH",False,0,0,1
2,0,"Beauchamp, Mr. Henry James",0,28.0,0,0,244358,26.0,,,England,False,0,0,1
2,1,"Pallas y Castello, Mr. Emilio",0,29.0,0,0,SC/PARIS 2147,13.8583,,9,"Spain / Havana, Cuba",False,1,0,0
3,0,"Coelho, Mr. Domingos Fernandeo",0,20.0,0,0,SOTON/O.Q. 3101307,7.05,,,Portugal,False,0,0,1
2,0,"Bailey, Mr. Percy Andrew",0,18.0,0,0,29108,11.5,,,"Penzance, Cornwall / Akron, OH",False,0,0,1
3,0,"Rice, Master. Eric",0,7.0,4,1,382652,29.125,,,,False,0,1,0
2,0,"de Brito, Mr. Jose Joaquim",0,32.0,0,0,244360,13.0,,,"Portugal / Sau Paulo, Brazil",False,0,0,1
3,0,"Salonen, Mr. Johan Werner",0,39.0,0,0,3101296,7.925,,,,False,0,0,1
3,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,47.0,1,0,A/5. 3337,14.5,,,,True,0,0,1
2,1,"Richards, Master. William Rowe",0,3.0,1,1,29106,18.75,,4,"Cornwall / Akron, OH",False,0,0,1
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35.0,1,0,113803,53.1,C123,D,"Scituate, MA",False,0,0,1
3,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,29.0,0,2,2650,15.2458,,C,,False,1,0,0
1,0,"Smith, Mr. James Clinch",0,56.0,0,0,17764,30.6958,A7,,"St James, Long Island, NY",False,1,0,0
2,1,"Bentham, Miss. Lilian W",1,19.0,0,0,28404,13.0,,12,"Rochester, NY",False,0,0,1
3,0,"Panula, Mrs. Juha (Maria Emilia Ojala)",1,41.0,0,5,3101295,39.6875,,,,False,0,0,1
3,1,"Baclini, Miss. Marie Catherine",1,5.0,2,1,2666,19.2583,,C,"Syria New York, NY",False,1,0,0
3,1,"Lundstrom, Mr. Thure Edvin",0,32.0,0,0,350403,7.5792,,15,,False,0,0,1
1,0,"Evans, Miss. Edith Corse",1,36.0,0,0,PC 17531,31.6792,A29,,"New York, NY",False,1,0,0
3,0,"Danoff, Mr. Yoto",0,27.0,0,0,349219,7.8958,,,"Bulgaria Chicago, IL",False,0,0,1
3,1,"Krekorian, Mr. Neshan",0,25.0,0,0,2654,7.2292,F E57,10,,False,1,0,0
2,0,"Giles, Mr. Edgar",0,21.0,1,0,28133,11.5,,,"Cornwall / Camden, NJ",False,0,0,1
3,0,"Pokrnic, Mr. Tome",0,24.0,0,0,315092,8.6625,,,,False,0,0,1
2,1,"Smith, Miss. Marion Elsie",1,40.0,0,0,31418,13.0,,9,,False,0,0,1
2,1,"Wells, Master. Ralph Lester",0,2.0,1,1,29103,23.0,,14,"Cornwall / Akron, OH",False,0,0,1
1,0,"Walker, Mr. William Anderson",0,47.0,0,0,36967,34.0208,D46,,"East Orange, NJ",False,0,0,1
3,0,"Peacock, Miss. Treasteall",1,3.0,1,1,SOTON/O.Q. 3101315,13.775,,,,False,0,0,1
3,1,"Dean, Master. Bertram Vere",0,1.0,1,2,C.A. 2315,20.575,,10,"Devon, England Wichita, KS",False,0,0,1
3,0,"McGowan, Miss. Katherine",1,35.0,0,0,9232,7.75,,,,False,0,1,0
2,0,"Laroche, Mr. Joseph Philippe Lemercier",0,25.0,1,2,SC/Paris 2123,41.5792,,,Paris / Haiti,False,1,0,0
3,0,"Holm, Mr. John Fredrik Alexander",0,43.0,0,0,C 7075,6.45,,,,False,0,0,1
2,0,"Corbett, Mrs. Walter H (Irene Colvin)",1,30.0,0,0,237249,13.0,,,"Provo, UT",False,0,0,1
1,1,"Fortune, Mrs. Mark (Mary McDougald)",1,60.0,1,4,19950,263.0,C23 C25 C27,10,"Winnipeg, MB",False,0,0,1
1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1,39.0,1,1,17421,110.8833,C68,4,"Haverford, PA",False,1,0,0
3,1,"Olsen, Master. Artur Karl",0,9.0,0,1,C 17368,3.1708,,13,,False,0,0,1
2,1,"Parrish, Mrs. (Lutie Davis)",1,50.0,0,1,230433,26.0,,12,"Woodford County, KY",False,0,0,1
3,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,33.0,3,0,3101278,15.85,,,"Ruotsinphytaa, Finland New York, NY",False,0,0,1
3,1,"Sap, Mr. Julius",0,25.0,0,0,345768,9.5,,11,,False,0,0,1
2,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,29.0,1,0,2926,26.0,,16,,False,0,0,1
1,0,"Partner, Mr. Austen",0,45.5,0,0,113043,28.5,C124,,"Surbiton Hill, Surrey",True,0,0,1
1,1,"Gracie, Col. Archibald IV",0,53.0,0,0,113780,28.5,C51,B,"Washington, DC",False,1,0,0
3,0,"Riihivouri, Miss. Susanna Juhantytar ""Sanni""",1,22.0,0,0,3101295,39.6875,,,,False,0,0,1
3,1,"Aks, Mrs. Sam (Leah Rosen)",1,18.0,0,1,392091,9.35,,13,"London, England Norfolk, VA",False,0,0,1
2,1,"Nasser, Mrs. Nicholas (Adele Achem)",1,14.0,1,0,237736,30.0708,,,"New York, NY",False,1,0,0
3,0,"Abbing, Mr. Anthony",0,42.0,0,0,C.A. 5547,7.55,,,,False,0,0,1
2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",1,22.0,1,1,248738,29.0,,13,"Bangkok, Thailand / Roseville, IL",False,0,0,1
1,1,"Gibson, Miss. Dorothy Winifred",1,22.0,0,1,112378,59.4,,7,"New York, NY",False,1,0,0
1,1,"Dodge, Dr. Washington",0,53.0,1,1,33638,81.8583,A34,13,"San Francisco, CA",False,0,0,1
1,0,"Thayer, Mr. John Borland",0,49.0,1,1,17421,110.8833,C68,,"Haverford, PA",False,1,0,0
1,1,"Anderson, Mr. Harry",0,48.0,0,0,19952,26.55,E12,3,"New York, NY",False,0,0,1
2,1,"Webber, Miss. Susan",1,32.5,0,0,27267,13.0,E101,12,"England / Hartford, CT",False,0,0,1
1,1,"Francatelli, Miss. Laura Mabel",1,30.0,0,0,PC 17485,56.9292,E36,1,,False,1,0,0
1,1,"Bissette, Miss. Amelia",1,35.0,0,0,PC 17760,135.6333,C99,8,,False,0,0,1
2,1,"Becker, Miss. Ruth Elizabeth",1,12.0,2,1,230136,39.0,F4,13,"Guntur, India / Benton Harbour, MI",False,0,0,1
3,0,"Stanley, Mr. Edward Roland",0,21.0,0,0,A/4 45380,8.05,,,,False,0,0,1
3,0,"Moen, Mr. Sigurd Hansen",0,25.0,0,0,348123,7.65,F G73,,,True,0,0,1
3,0,"Kink, Mr. Vincenz",0,26.0,2,0,315151,8.6625,,,,False,0,0,1
1,0,"Minahan, Dr. William Edward",0,44.0,2,0,19928,90.0,C78,,"Fond du Lac, WI",True,0,1,0
1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",1,44.0,0,1,111361,57.9792,B18,4,"Chicago, IL",False,1,0,0
1,1,"Silvey, Mrs. William Baird (Alice Munger)",1,39.0,1,0,13507,55.9,E44,11,"Duluth, MN",False,0,0,1
3,1,"Carr, Miss. Helen ""Ellen""",1,16.0,0,0,367231,7.75,,16,"Co Longford, Ireland New York, NY",False,0,1,0
3,0,"Barbara, Miss. Saiide",1,18.0,0,1,2691,14.4542,,,"Syria Ottawa, ON",False,1,0,0
3,0,"Karlsson, Mr. Nils August",0,22.0,0,0,350060,7.5208,,,,False,0,0,1
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1,18.0,1,0,PC 17757,227.525,C62 C64,4,"New York, NY",False,1,0,0
2,0,"Louch, Mr. Charles Alexander",0,50.0,1,0,SC/AH 3085,26.0,,,"Weston-Super-Mare, Somerset",True,0,0,1
3,0,"Zabour, Miss. Hileni",1,14.5,1,0,2665,14.4542,,,,True,1,0,0
3,0,"Olsvigen, Mr. Thor Anderson",0,20.0,0,0,6563,9.225,,,"Oslo, Norway Cameron, WI",True,0,0,1
3,1,"Cribb, Miss. Laura Alice",1,17.0,0,1,371362,16.1,,12,"Bournemouth, England Newark, NJ",False,0,0,1
1,0,"Weir, Col. John",0,60.0,0,0,113800,26.55,,,"England Salt Lake City, Utah",False,0,0,1
2,0,"Brown, Mr. Thomas William Solomon",0,60.0,1,1,29750,39.0,,,"Cape Town, South Africa / Seattle, WA",False,0,0,1
2,1,"Sincock, Miss. Maude",1,20.0,0,0,C.A. 33112,36.75,,11,"Cornwall / Hancock, MI",False,0,0,1
1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",1,60.0,0,0,11813,76.2917,D15,8,"Philadelphia, PA",False,1,0,0
3,0,"Badt, Mr. Mohamed",0,40.0,0,0,2623,7.225,,,,False,1,0,0
3,0,"Jensen, Mr. Hans Peder",0,20.0,0,0,350050,7.8542,,,,False,0,0,1
3,0,"Ford, Mr. Edward Watson",0,18.0,2,2,W./C. 6608,34.375,,,"Rotherfield, Sussex, England Essex Co, MA",False,0,0,1
3,0,"Cor, Mr. Liudevit",0,19.0,0,0,349231,7.8958,,,Austria,False,0,0,1
3,1,"Jonsson, Mr. Carl",0,32.0,0,0,350417,7.8542,,15,,False,0,0,1
3,0,"Larsson, Mr. August Viktor",0,29.0,0,0,7545,9.4833,,,,False,0,0,1
1,0,"Widener, Mr. Harry Elkins",0,27.0,0,2,113503,211.5,C82,,"Elkins Park, PA",False,1,0,0
2,0,"Cotterill, Mr. Henry ""Harry""",0,21.0,0,0,29107,11.5,,,"Penzance, Cornwall / Akron, OH",False,0,0,1
3,0,"Petterson, Mr. Johan Emil",0,25.0,1,0,347076,7.775,,,,False,0,0,1
2,0,"Mitchell, Mr. Henry Michael",0,70.0,0,0,C.A. 24580,10.5,,,"Guernsey / Montclair, NJ and/or Toledo, Ohio",False,0,0,1
2,0,"Gale, Mr. Shadrach",0,34.0,1,0,28664,21.0,,,"Cornwall / Clear Creek, CO",False,0,0,1
1,0,"Carrau, Mr. Jose Pedro",0,17.0,0,0,113059,47.1,,,"Montevideo, Uruguay",False,0,0,1
3,0,"Elias, Mr. Joseph Jr",0,17.0,1,1,2690,7.2292,,,,False,1,0,0
3,0,"Dika, Mr. Mirko",0,17.0,0,0,349232,7.8958,,,,False,0,0,1
3,0,"Goodwin, Master. William Frederick",0,11.0,5,2,CA 2144,46.9,,,"Wiltshire, England Niagara Falls, NY",False,0,0,1
2,1,"Shelley, Mrs. William (Imanita Parrish Hall)",1,25.0,0,1,230433,26.0,,12,"Deer Lodge, MT",False,0,0,1
3,0,"Gallagher, Mr. Martin",0,25.0,0,0,36864,7.7417,,,"New York, NY",False,0,1,0
1,0,"Allison, Miss. Helen Loraine",1,2.0,1,2,113781,151.55,C22 C26,,"Montreal, PQ / Chesterville, ON",False,0,0,1
3,0,"Crease, Mr. Ernest James",0,19.0,0,0,S.P. 3464,8.1583,,,"Bristol, England Cleveland, OH",False,0,0,1
3,0,"Lievens, Mr. Rene Aime",0,24.0,0,0,345781,9.5,,,,False,0,0,1
2,0,"Downton, Mr. William James",0,54.0,0,0,28403,26.0,,,"Holley, NY",False,0,0,1
2,0,"Lahtinen, Mrs. William (Anna Sylfven)",1,26.0,1,1,250651,26.0,,,"Minneapolis, MN",False,0,0,1
1,1,"LeRoy, Miss. Bertha",1,30.0,0,0,PC 17761,106.425,,2,,False,1,0,0
3,0,"Hegarty, Miss. Hanora ""Nora""",1,18.0,0,0,365226,6.75,,,,False,0,1,0
3,0,"Coxon, Mr. Daniel",0,59.0,0,0,364500,7.25,,,"Merrill, WI",False,0,0,1
3,0,"Carver, Mr. Alfred John",0,28.0,0,0,392095,7.25,,,"St Denys, Southampton, Hants",False,0,0,1
2,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",1,36.0,1,0,226875,26.0,,11,"Warwick, England",False,0,0,1
1,1,"Crosby, Miss. Harriet R",1,36.0,0,2,WE/P 5735,71.0,B22,7,"Milwaukee, WI",False,0,0,1
1,1,"Bonnell, Miss. Caroline",1,30.0,0,0,36928,164.8667,C7,8,"Youngstown, OH",False,0,0,1
3,0,"Klasen, Miss. Gertrud Emilia",1,1.0,1,1,350405,12.1833,,,,False,0,0,1
3,0,"Goldsmith, Mr. Frank John",0,33.0,1,1,363291,20.525,,,"Strood, Kent, England Detroit, MI",False,0,0,1
3,0,"Lovell, Mr. John Hall (""Henry"")",0,20.5,0,0,A/5 21173,7.25,,,,False,0,0,1
3,0,"Skoog, Master. Harald",0,4.0,3,2,347088,27.9,,,,False,0,0,1
2,1,"Bryhl, Miss. Dagmar Jenny Ingeborg ",1,20.0,1,0,236853,26.0,,12,"Skara, Sweden / Rockford, IL",False,0,0,1
1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",0,49.0,1,0,PC 17485,56.9292,A20,1,London / Paris,False,1,0,0
3,0,"Olsen, Mr. Henry Margido",0,28.0,0,0,C 4001,22.525,,,,True,0,0,1
3,0,"Dintcheff, Mr. Valtcho",0,43.0,0,0,349226,7.8958,,,,False,0,0,1
2,0,"Gilbert, Mr. William",0,47.0,0,0,C.A. 30769,10.5,,,Cornwall,False,0,0,1
2,0,"Hunt, Mr. George Henry",0,33.0,0,0,SCO/W 1585,12.275,,,"Philadelphia, PA",False,0,0,1
2,1,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",1,24.0,1,0,SC/PARIS 2167,27.7208,,12,"Lucca, Italy / California",False,1,0,0
2,1,"Cook, Mrs. (Selena Rogers)",1,22.0,0,0,W./C. 14266,10.5,F33,14,Pennsylvania,False,0,0,1
3,0,"Davies, Mr. Alfred J",0,24.0,2,0,A/4 48871,24.15,,,"West Bromwich, England Pontiac, MI",False,0,0,1
1,0,"Silvey, Mr. William Baird",0,50.0,1,0,13507,55.9,E44,,"Duluth, MN",False,0,0,1
2,0,"del Carlo, Mr. Sebastiano",0,29.0,1,0,SC/PARIS 2167,27.7208,,,"Lucca, Italy / California",True,1,0,0
1,1,"Lesurer, Mr. Gustave J",0,35.0,0,0,PC 17755,512.3292,B101,3,,False,1,0,0
3,1,"Wilkes, Mrs. James (Ellen Needs)",1,47.0,1,0,363272,7.0,,,,False,0,0,1
3,0,"Stoytcheff, Mr. Ilia",0,19.0,0,0,349205,7.8958,,,,False,0,0,1
2,0,"Hood, Mr. Ambrose Jr",0,21.0,0,0,S.O.C. 14879,73.5,,,"New Forest, England",False,0,0,1
1,0,"Colley, Mr. Edward Pomeroy",0,47.0,0,0,5727,25.5875,E58,,"Victoria, BC",False,0,0,1
1,0,"Cavendish, Mr. Tyrell William",0,36.0,1,0,19877,78.85,C46,,"Little Onn Hall, Staffs",True,0,0,1
3,0,"Peltomaki, Mr. Nikolai Johannes",0,25.0,0,0,STON/O 2. 3101291,7.925,,,,False,0,0,1
2,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",1,24.0,2,1,243847,27.0,,12,London,False,0,0,1
3,0,"Bowen, Mr. David John ""Dai""",0,21.0,0,0,54636,16.1,,,"Treherbert, Cardiff, Wales",False,0,0,1
1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",1,56.0,0,1,11767,83.1583,C50,7,"Mt Airy, Philadelphia, PA",False,1,0,0
3,0,"Hanna, Mr. Mansour",0,23.5,0,0,2693,7.2292,,,,True,1,0,0
3,0,"Klasen, Mr. Klas Albin",0,18.0,1,1,350404,7.8542,,,,False,0,0,1
3,0,"Ford, Mr. William Neal",0,16.0,1,3,W./C. 6608,34.375,,,"Rotherfield, Sussex, England Essex Co, MA",False,0,0,1
2,1,"Hart, Miss. Eva Miriam",1,7.0,0,2,F.C.C. 13529,26.25,,14,"Ilford, Essex / Winnipeg, MB",False,0,0,1
2,0,"Bryhl, Mr. Kurt Arnold Gottfrid",0,25.0,1,0,236853,26.0,,,"Skara, Sweden / Rockford, IL",False,0,0,1
1,1,"Newsom, Miss. Helen Monypeny",1,19.0,0,2,11752,26.2833,D47,5,"New York, NY",False,0,0,1
1,1,"Goldenberg, Mr. Samuel L",0,49.0,1,0,17453,89.1042,C92,5,"Paris, France / New York, NY",False,1,0,0
3,0,"Minkoff, Mr. Lazar",0,21.0,0,0,349211,7.8958,,,,False,0,0,1
3,0,"Palsson, Master. Paul Folke",0,6.0,3,1,349909,21.075,,,,False,0,0,1
3,0,"Ford, Mrs. Edward (Margaret Ann Watson)",1,48.0,1,3,W./C. 6608,34.375,,,"Rotherfield, Sussex, England Essex Co, MA",False,0,0,1
3,0,"Adams, Mr. John",0,26.0,0,0,341826,8.05,,,"Bournemouth, England",True,0,0,1
3,0,"Ekstrom, Mr. Johan",0,45.0,0,0,347061,6.975,,,"Effington Rut, SD",False,0,0,1
3,0,"Nilsson, Mr. August Ferdinand",0,21.0,0,0,350410,7.8542,,,,False,0,0,1
3,1,"Stanley, Miss. Amy Zillah Elsie",1,23.0,0,0,CA. 2314,7.55,,C,,False,0,0,1
2,0,"Renouf, Mr. Peter Henry",0,34.0,1,0,31027,21.0,,12,"Elizabeth, NJ",False,0,0,1
1,1,"Snyder, Mr. John Pillsbury",0,24.0,1,0,21228,82.2667,B45,7,"Minneapolis, MN",False,0,0,1
2,0,"Jefferys, Mr. Clifford Thomas",0,24.0,2,0,C.A. 31029,31.5,,,"Guernsey / Elizabeth, NJ",False,0,0,1
2,1,"Quick, Miss. Winifred Vera",1,8.0,1,1,26360,26.0,,11,"Plymouth, Devon / Detroit, MI",False,0,0,1
3,0,"Ford, Miss. Robina Maggie ""Ruby""",1,9.0,2,2,W./C. 6608,34.375,,,"Rotherfield, Sussex, England Essex Co, MA",False,0,0,1
2,0,"Gavey, Mr. Lawrence",0,26.0,0,0,31028,10.5,,,"Guernsey / Elizabeth, NJ",False,0,0,1
3,1,"Heikkinen, Miss. Laina",1,26.0,0,0,STON/O2. 3101282,7.925,,,,False,0,0,1
3,0,"Vander Planke, Mr. Leo Edmondus",0,16.0,2,0,345764,18.0,,,,False,0,0,1
3,0,"Baccos, Mr. Raffull",0,20.0,0,0,2679,7.225,,,,False,1,0,0
2,0,"Otter, Mr. Richard",0,39.0,0,0,28213,13.0,,,"Middleburg Heights, OH",False,0,0,1
1,0,"Jones, Mr. Charles Cresson",0,46.0,0,0,694,26.0,,,"Bennington, VT",True,0,0,1
3,1,"Bradley, Miss. Bridget Delia",1,22.0,0,0,334914,7.725,,13,"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY",False,0,1,0
3,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,40.0,1,0,7546,9.475,,,"Sweden Akeley, MN",False,0,0,1
3,0,"Waelens, Mr. Achille",0,22.0,0,0,345767,9.0,,,"Antwerp, Belgium / Stanton, OH",False,0,0,1
3,1,"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",1,38.0,0,0,2688,7.2292,,C,,False,1,0,0
1,1,"Chaudanson, Miss. Victorine",1,36.0,0,0,PC 17608,262.375,B61,4,,False,1,0,0
3,0,"Rice, Master. Eugene",0,2.0,4,1,382652,29.125,,,,False,0,1,0
2,1,"Hamalainen, Master. Viljo",0,0.6667,1,1,250649,14.5,,4,"Detroit, MI",False,0,0,1
1,0,"Julian, Mr. Henry Forbes",0,50.0,0,0,113044,26.0,E60,,London,False,0,0,1
3,0,"Dean, Mr. Bertram Frank",0,26.0,1,2,C.A. 2315,20.575,,,"Devon, England Wichita, KS",False,0,0,1
2,0,"Angle, Mr. William A",0,34.0,1,0,226875,26.0,,,"Warwick, England",False,0,0,1
3,0,"Carlsson, Mr. Carl Robert",0,24.0,0,0,350409,7.8542,,,"Goteborg, Sweden Huntley, IL",False,0,0,1
3,0,"Gilinski, Mr. Eliezer",0,22.0,0,0,14973,8.05,,,,True,0,0,1
3,0,"Pasic, Mr. Jakob",0,21.0,0,0,315097,8.6625,,,,False,0,0,1
3,0,"Asim, Mr. Adola",0,35.0,0,0,SOTON/O.Q. 3101310,7.05,,,,False,0,0,1
1,1,"Stahelin-Maeglin, Dr. Max",0,32.0,0,0,13214,30.5,B50,3,"Basel, Switzerland",False,1,0,0
3,0,"Elias, Mr. Joseph",0,39.0,0,2,2675,7.2292,,,"Syria Ottawa, ON",False,1,0,0
3,0,"Svensson, Mr. Johan",0,74.0,0,0,347060,7.775,,,,False,0,0,1
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,50.0,0,1,PC 17558,247.5208,B58 B60,6,"Montreal, PQ",False,1,0,0
2,0,"Nasser, Mr. Nicholas",0,32.5,1,0,237736,30.0708,,,"New York, NY",True,1,0,0
1,1,"Carter, Miss. Lucile Polk",1,14.0,1,2,113760,120.0,B96 B98,4,"Bryn Mawr, PA",False,0,0,1
3,0,"Hansen, Mr. Henrik Juul",0,26.0,1,0,350025,7.8542,,,,False,0,0,1
3,0,"Hassan, Mr. Houssein G N",0,11.0,0,0,2699,18.7875,,,,False,1,0,0
3,0,"Sirayanian, Mr. Orsen",0,22.0,0,0,2669,7.2292,,,,False,1,0,0
3,1,"Lundin, Miss. Olga Elida",1,23.0,0,0,347469,7.8542,,10,,False,0,0,1
1,1,"Williams, Mr. Richard Norris II",0,21.0,0,1,PC 17597,61.3792,,A,"Geneva, Switzerland / Radnor, PA",False,1,0,0
3,0,"Jonkoff, Mr. Lalio",0,23.0,0,0,349204,7.8958,,,,False,0,0,1
3,0,"Saether, Mr. Simon Sivertsen",0,38.5,0,0,SOTON/O.Q. 3101262,7.25,,,,True,0,0,1
2,0,"Hickman, Mr. Leonard Mark",0,24.0,2,0,S.O.C. 14879,73.5,,,"West Hampstead, London / Neepawa, MB",False,0,0,1
3,0,"Harmer, Mr. Abraham (David Lishin)",0,25.0,0,0,374887,7.25,,B,,False,0,0,1
3,0,"Danbom, Master. Gilbert Sigvard Emanuel",0,0.3333,0,2,347080,14.4,,,"Stanton, IA",False,0,0,1
3,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31.0,1,0,345763,18.0,,,,False,0,0,1
2,0,"Funk, Miss. Annie Clemmer",1,38.0,0,0,237671,13.0,,,"Janjgir, India / Pennsylvania",False,0,0,1
2,1,"Garside, Miss. Ethel",1,34.0,0,0,243880,13.0,,12,"Brooklyn, NY",False,0,0,1
1,1,"Behr, Mr. Karl Howell",0,26.0,0,0,111369,30.0,C148,5,"New York, NY",False,1,0,0
3,0,"Cacic, Mr. Jego Grga",0,18.0,0,0,315091,8.6625,,,,False,0,0,1
3,0,"Laitinen, Miss. Kristina Sofia",1,37.0,0,0,4135,9.5875,,,,False,0,0,1
3,0,"Buckley, Miss. Katherine",1,18.5,0,0,329944,7.2833,,,"Co Cork, Ireland Roxbury, MA",True,0,1,0
2,1,"Trout, Mrs. William H (Jessie L)",1,28.0,0,0,240929,12.65,,,"Columbus, OH",False,0,0,1
3,0,"Johansson, Mr. Karl Johan",0,31.0,0,0,347063,7.775,,,,False,0,0,1
2,1,"Collyer, Miss. Marjorie ""Lottie""",1,8.0,0,2,C.A. 31921,26.25,,14,"Bishopstoke, Hants / Fayette Valley, ID",False,0,0,1
2,0,"Hart, Mr. Benjamin",0,43.0,1,1,F.C.C. 13529,26.25,,,"Ilford, Essex / Winnipeg, MB",False,0,0,1
2,0,"Wheadon, Mr. Edward H",0,66.0,0,0,C.A. 24579,10.5,,,"Guernsey, England / Edgewood, RI",False,0,0,1
3,0,"Olsson, Mr. Nils Johan Goransson",0,28.0,0,0,347464,7.8542,,,,False,0,0,1
1,1,"Newell, Miss. Marjorie",1,23.0,1,0,35273,113.275,D36,6,"Lexington, MA",False,1,0,0
3,0,"Zakarian, Mr. Ortin",0,27.0,0,0,2670,7.225,,,,False,1,0,0
3,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,18.0,1,0,349237,17.8,,,"Altdorf, Switzerland",False,0,0,1
2,0,"Jenkin, Mr. Stephen Curnow",0,32.0,0,0,C.A. 33111,10.5,,,"St Ives, Cornwall / Houghton, MI",False,0,0,1
1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",1,25.0,1,2,113781,151.55,C22 C26,,"Montreal, PQ / Chesterville, ON",False,0,0,1
1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",1,24.0,0,0,PC 17482,49.5042,C90,6,"Belgium  Montreal, PQ",False,1,0,0
3,1,"Baclini, Miss. Eugenie",1,0.75,2,1,2666,19.2583,,C,"Syria New York, NY",False,1,0,0
1,1,"Burns, Miss. Elizabeth Margaret",1,41.0,0,0,16966,134.5,E40,3,,False,1,0,0
1,1,"Sloper, Mr. William Thompson",0,28.0,0,0,113788,35.5,A6,7,"New Britain, CT",False,0,0,1
3,0,"Braund, Mr. Lewis Richard",0,29.0,1,0,3460,7.0458,,,"Bridgerule, Devon",False,0,0,1
1,0,"Carrau, Mr. Francisco M",0,28.0,0,0,113059,47.1,,,"Montevideo, Uruguay",False,0,0,1
1,0,"Artagaveytia, Mr. Ramon",0,71.0,0,0,PC 17609,49.5042,,,"Montevideo, Uruguay",True,1,0,0
1,1,"Allison, Master. Hudson Trevor",0,0.9167,1,2,113781,151.55,C22 C26,11,"Montreal, PQ / Chesterville, ON",False,0,0,1
3,0,"Markoff, Mr. Marin",0,35.0,0,0,349213,7.8958,,,,False,1,0,0
1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",1,51.0,0,1,PC 17592,39.4,D28,9,"Paris, France",False,0,0,1
3,1,"Svensson, Mr. Johan Cervin",0,14.0,0,0,7538,9.225,,13,,False,0,0,1
3,0,"Rosblom, Miss. Salli Helena",1,2.0,1,1,370129,20.2125,,,,False,0,0,1
1,0,"Roebling, Mr. Washington Augustus II",0,31.0,0,0,PC 17590,50.4958,A24,,"Trenton, NJ",False,0,0,1
3,0,"Pokrnic, Mr. Mate",0,17.0,0,0,315095,8.6625,,,,False,0,0,1
3,0,"Oreskovic, Miss. Marija",1,20.0,0,0,315096,8.6625,,,,False,0,0,1
3,1,"McGowan, Miss. Anna ""Annie""",1,15.0,0,0,330923,8.0292,,,,False,0,1,0
3,0,"Edvardsson, Mr. Gustaf Hjalmar",0,18.0,0,0,349912,7.775,,,"Tofta, Sweden Joliet, IL",False,0,0,1
